주소,재산피해소계
충청남도 당진시 신평면,257135
충청남도 당진시 용연동,1066
충청남도 당진시 우강면,119012
충청남도 당진시 정미면,35488
충청남도 당진시 합덕읍,66870
충청남도 보령시 남포면,4137
충청남도 보령시 동대동,211
충청남도 보령시 성주면,3455
충청남도 보령시 오천면,779
충청남도 보령시 웅천읍,5134
충청남도 보령시 주교면,361
충청남도 보령시 주산면,990
충청남도 보령시 주포면,1500
충청남도 보령시 천북면,336235
충청남도 보령시 청라면,13902
충청남도 보령시 청소면,339579
충청남도 부여군 구룡면,8273
충청남도 부여군 규암면,88310
충청남도 부여군 남면,5138
충청남도 부여군 내산면,62041
충청남도 부여군 부여읍,14603
충청남도 부여군 석성면,9776
충청남도 부여군 세도면,46761
충청남도 부여군 양화면,13044
충청남도 부여군 옥산면,81442
충청남도 부여군 외산면,74208
충청남도 부여군 은산면,227942
충청남도 부여군 장암면,6650
충청남도 부여군 충화면,19918
충청남도 부여군 홍산면,5897
충청남도 서산시 대산읍,27010
충청남도 서산시 동문동,6486
충청남도 서산시 부석면,2814
충청남도 서산시 성연면,58205
충청남도 서산시 수석동,21315
충청남도 서산시 예천동,2581
충청남도 서산시 운산면,16882
충청남도 서산시 음암면,1986
충청남도 서산시 인지면,243
충청남도 서산시 잠홍동,2722
충청남도 서산시 지곡면,57921
충청남도 서산시 팔봉면,6083
충청남도 서산시 해미면,86744
충청남도 서천군 마산면,43457
충청남도 서천군 마서면,14454
충청남도 서천군 문산면,3997
충청남도 서천군 비인면,3866
충청남도 서천군 서천읍,1036
충청남도 서천군 장항읍,462
충청남도 서천군 종천면,0
충청남도 서천군 한산면,92165
충청남도 아산시 도고면,49167
충청남도 아산시 둔포면,6831
충청남도 아산시 배방읍,138037
충청남도 아산시 선장면,125481
충청남도 아산시 신창면,223422
충청남도 아산시 실옥동,34336
충청남도 아산시 염치읍,2358
충청남도 아산시 영인면,25086
충청남도 아산시 음봉면,294757
충청남도 아산시 인주면,15418
충청남도 아산시 초사동,174676
충청남도 예산군 고덕면,46930
충청남도 예산군 광시면,18962
충청남도 예산군 대술면,91980
충청남도 예산군 덕산면,46320
충청남도 예산군 삽교읍,38524
충청남도 예산군 신양면,4088
충청남도 예산군 예산읍,12911
충청남도 예산군 오가면,17534
충청남도 예산군 응봉면,36045
충청남도 천안시동남구 광덕면,5596
충청남도 천안시동남구 구성동,283
충청남도 천안시동남구 동면,31760
충청남도 천안시동남구 목천읍,5742
충청남도 천안시동남구 병천면,9471
충청남도 천안시동남구 성남면,89336
충청남도 천안시동남구 수신면,109794
충청남도 천안시동남구 청당동,13158
충청남도 천안시동남구 청수동,396
충청남도 천안시동남구 풍세면,34002
충청남도 천안시서북구 백석동,1096
충청남도 천안시서북구 성거읍,15633
충청남도 천안시서북구 성환읍,3975
충청남도 천안시서북구 업성동,43450
충청남도 천안시서북구 입장면,18198
충청남도 천안시서북구 직산읍,369112
충청남도 청양군 남양면,508
충청남도 청양군 대치면,49538
충청남도 청양군 목면,14608
충청남도 청양군 비봉면,469
충청남도 청양군 장평면,737
충청남도 청양군 정산면,107951
충청남도 청양군 청남면,51213
충청남도 태안군 근흥면,1080
충청남도 태안군 소원면,22213
충청남도 태안군 안면읍,24432
충청남도 태안군 원북면,49946
충청남도 태안군 태안읍,6141
충청남도 홍성군 갈산면,374384
충청남도 홍성군 광천읍,143229
충청남도 홍성군 구항면,24863
충청남도 홍성군 서부면,269339
충청남도 홍성군 은하면,56067
충청남도 홍성군 장곡면,279395
충청남도 홍성군 홍동면,88270
충청남도 홍성군 홍북읍,6555
충청남도 홍성군 홍성읍,547
충청북도 괴산군 감물면,43257
충청북도 괴산군 괴산읍,3384
충청북도 괴산군 문광면,85129
충청북도 괴산군 불정면,21614
충청북도 괴산군 사리면,397091
충청북도 괴산군 청안면,368163
충청북도 괴산군 청천면,124259
충청북도 괴산군 칠성면,11357
충청북도 단양군 단성면,12352
충청북도 단양군 단양읍,3394
충청북도 단양군 매포읍,882994
충청북도 단양군 어상천면,3480
충청북도 단양군 영춘면,3789
충청북도 단양군 적성면,11651
충청북도 보은군 마로면,4065
충청북도 보은군 보은읍,3614
충청북도 보은군 산외면,86554
충청북도 보은군 삼승면,69244
충청북도 보은군 장안면,325
충청북도 보은군 탄부면,40234
충청북도 보은군 회남면,6717
충청북도 보은군 회인면,4712
충청북도 영동군 양강면,78
충청북도 영동군 영동읍,475
충청북도 영동군 용화면,8816
충청북도 영동군 추풍령면,6461
충청북도 영동군 학산면,6244
충청북도 옥천군 군북면,1626
충청북도 옥천군 옥천읍,26231
충청북도 옥천군 이원면,20463
충청북도 옥천군 청산면,646620
충청북도 옥천군 청성면,4665
충청북도 음성군 감곡면,225061
충청북도 음성군 금왕읍,189460
충청북도 음성군 대소면,356122
충청북도 음성군 맹동면,341995
충청북도 음성군 삼성면,662697
충청북도 음성군 생극면,23281
충청북도 음성군 소이면,402004
충청북도 음성군 원남면,178936
충청북도 음성군 음성읍,381824
충청북도 제천시 고명동,402
충청북도 제천시 고암동,633
충청북도 제천시 금성면,9663
충청북도 제천시 덕산면,45325
충청북도 제천시 봉양읍,6219
충청북도 제천시 송학면,2560
충청북도 제천시 수산면,44592
충청북도 제천시 영천동,118
충청북도 제천시 왕암동,825881
충청북도 증평군 도안면,2200
충청북도 증평군 증평읍,53144
충청북도 진천군 광혜원면,52560
충청북도 진천군 덕산면,67185
충청북도 진천군 덕산읍,632865
충청북도 진천군 문백면,1865
충청북도 진천군 이월면,2601158
충청북도 진천군 진천읍,18342
충청북도 진천군 초평면,1964771
충청북도 청주시상당구 가덕면,13886
충청북도 청주시상당구 남일면,11829
충청북도 청주시상당구 문의면,10217
충청북도 청주시상당구 미원면,1736
충청북도 청주시상당구 산성동,105
충청북도 청주시상당구 월오동,1560
충청북도 청주시상당구 지북동,32334
충청북도 청주시서원구 남이면,1865322
충청북도 청주시서원구 현도면,4899372
충청북도 청주시청원구 내수읍,7083
충청북도 청주시청원구 북이면,361029
충청북도 청주시청원구 오창읍,4406085
충청북도 청주시청원구 외남동,394
충청북도 청주시청원구 율량동,222
충청북도 청주시흥덕구 강내면,556952
충청북도 청주시흥덕구 복대동,23796
충청북도 청주시흥덕구 봉명동,9590
충청북도 청주시흥덕구 서촌동,203670
충청북도 청주시흥덕구 송절동,938
충청북도 청주시흥덕구 송정동,68939
충청북도 청주시흥덕구 신봉동,122245
충청북도 청주시흥덕구 옥산면,225412
충청북도 청주시흥덕구 지동동,82725
충청북도 청주시흥덕구 향정동,9430
충청북도 청주시흥덕구 휴암동,413
충청북도 충주시 금가면,2
충청북도 충주시 금릉동,9618
충청북도 충주시 노은면,59908
충청북도 충주시 대소원면,1384730
충청북도 충주시 동량면,220
충청북도 충주시 목행동,504601
충청북도 충주시 소태면,2394
충청북도 충주시 신니면,1097
충청북도 충주시 안림동,24563
충청북도 충주시 앙성면,4197
충청북도 충주시 엄정면,7425
충청북도 충주시 연수동,1145
충청북도 충주시 용두동,4455
충청북도 충주시 주덕읍,356514
충청북도 충주시 중앙탑면,30343
충청북도 충주시 직동,543886
