주소,재산피해소계
경기도 안양시만안구 안양동,76915
경기도 양주시 고암동,99973
경기도 양주시 광사동,8851
경기도 양주시 광적면,1381126
경기도 양주시 남면,666667
경기도 양주시 덕계동,1901
경기도 양주시 덕정동,7485
경기도 양주시 마전동,230856
경기도 양주시 만송동,115289
경기도 양주시 백석읍,35753
경기도 양주시 봉양동,10987
경기도 양주시 산북동,68
경기도 양주시 삼숭동,483693
경기도 양주시 은현면,187707
경기도 양주시 장흥면,698257
경기도 양주시 회정동,2014
경기도 양평군 강상면,1357
경기도 양평군 강하면,23754
경기도 양평군 단월면,17178
경기도 양평군 서종면,31477
경기도 양평군 양서면,6077
경기도 양평군 옥천면,103
경기도 양평군 용문면,394
경기도 양평군 지평면,54534
경기도 여주시 가남읍,336477
경기도 여주시 가업동,39
경기도 여주시 강천면,150921
경기도 여주시 금사면,18747
경기도 여주시 능서면,152453
경기도 여주시 대신면,4071
경기도 여주시 매룡동,44401
경기도 여주시 북내면,109839
경기도 여주시 산북면,3369
경기도 여주시 연라동,13234
경기도 여주시 오학동,22389
경기도 여주시 점동면,21038
경기도 여주시 점봉동,20257
경기도 여주시 천송동,327
경기도 여주시 하거동,4366
경기도 여주시 현암동,40497
경기도 여주시 흥천면,580649
경기도 연천군 군남면,26278
경기도 연천군 미산면,4191
경기도 연천군 백학면,4461
경기도 연천군 신서면,46357
경기도 연천군 연천읍,721
경기도 연천군 왕징면,1399
경기도 연천군 장남면,1109
경기도 연천군 전곡읍,26775
경기도 연천군 청산면,145682
경기도 오산시 가장동,55
경기도 오산시 갈곶동,220
경기도 오산시 내삼미동,9932
경기도 오산시 누읍동,2030008
경기도 오산시 두곡동,12856
경기도 오산시 벌음동,1672
경기도 오산시 서랑동,123304
경기도 오산시 세교동,199
경기도 오산시 외삼미동,94324
경기도 용인시기흥구 고매동,1531
경기도 용인시기흥구 공세동,296777
경기도 용인시기흥구 상하동,1682
경기도 용인시기흥구 신갈동,477
경기도 용인시기흥구 영덕동,1254
경기도 용인시기흥구 중동,618217
경기도 용인시수지구 고기동,61642
경기도 용인시수지구 풍덕천동,6916
경기도 용인시처인구 고림동,144674
경기도 용인시처인구 남사면,655005
경기도 용인시처인구 모현읍,1199463
경기도 용인시처인구 백암면,777031
경기도 용인시처인구 양지면,436952
경기도 용인시처인구 원삼면,255751
경기도 용인시처인구 유방동,251
경기도 용인시처인구 이동읍,577833
경기도 용인시처인구 포곡읍,266685
경기도 의왕시 고천동,13529
경기도 의왕시 오전동,1035
경기도 의왕시 이동,33
경기도 의왕시 초평동,526
경기도 의왕시 포일동,134232
경기도 의정부시 녹양동,13683
경기도 의정부시 용현동,5691
경기도 의정부시 의정부동,39417
경기도 의정부시 자일동,7228
경기도 이천시 고담동,3344
경기도 이천시 단월동,201907
경기도 이천시 대월면,439395
경기도 이천시 마장면,409915
경기도 이천시 모가면,73178
경기도 이천시 백사면,519179
경기도 이천시 부발읍,891026
